id,time,place,o3,co,so2,no2,pm10
0,2018-06-01 00:00:06,840170310001,0.033,,,,
1,2018-06-01 00:00:06,840170310022,,,,,32.0
2,2018-06-01 00:00:06,840170310032,0.027000000000000003,,,,
3,2018-06-01 00:00:06,840170310076,0.042,,,,
4,2018-06-01 00:00:06,840170311003,0.053,,,,
5,2018-06-01 00:00:06,840170311016,,,,,43.0
6,2018-06-01 00:00:06,840170311601,0.023,,,,
7,2018-06-01 00:00:06,840170313103,0.044000000000000004,,,,
8,2018-06-01 00:00:06,840170314002,0.024,,,,
9,2018-06-01 00:00:06,840170314007,0.047,,,,
10,2018-06-01 00:00:06,840170314201,0.049,,,,
11,2018-06-01 00:00:06,840170317002,0.063,,,,
12,2018-06-01 01:00:06,840170310001,0.024,,,,
13,2018-06-01 01:00:06,840170310022,,,,,30.0
14,2018-06-01 01:00:06,840170310032,0.024,,,,
15,2018-06-01 01:00:06,840170310076,0.032,,,,
16,2018-06-01 01:00:06,840170311003,0.043,,,,
17,2018-06-01 01:00:06,840170311016,,,,,13.0
18,2018-06-01 01:00:06,840170311601,0.017,,,,
19,2018-06-01 01:00:06,840170313103,0.037000000000000005,,,,
20,2018-06-01 01:00:06,840170314002,0.015,,,,
21,2018-06-01 01:00:06,840170314007,0.032,,,,
22,2018-06-01 01:00:06,840170314201,0.036000000000000004,,,,
23,2018-06-01 01:00:06,840170317002,0.07,,,,
24,2018-06-01 02:00:06,840170310001,0.019,,,,
25,2018-06-01 02:00:06,840170310022,,,,,16.0
26,2018-06-01 02:00:06,840170310032,0.015,,,,
27,2018-06-01 02:00:06,840170310076,0.023,,,,
28,2018-06-01 02:00:06,840170311003,0.038,,,,
29,2018-06-01 02:00:06,840170311016,,,,,14.0
30,2018-06-01 02:00:06,840170311601,0.013000000000000001,,,,
31,2018-06-01 02:00:06,840170313103,0.022000000000000002,,,,
32,2018-06-01 02:00:06,840170314002,0.009000000000000001,,,,
33,2018-06-01 02:00:06,840170314007,0.008,,,,
34,2018-06-01 02:00:06,840170314201,0.019,,,,
35,2018-06-01 02:00:06,840170317002,0.068,,,,
36,2018-06-01 03:00:06,840170310001,0.012,,,,
37,2018-06-01 03:00:06,840170310022,,,,,20.0
38,2018-06-01 03:00:06,840170310032,0.012,,,,
39,2018-06-01 03:00:06,840170310076,0.016,,,,
40,2018-06-01 03:00:06,840170311003,0.028999999999999998,,,,
41,2018-06-01 03:00:06,840170311016,,,,,28.0
42,2018-06-01 03:00:06,840170311601,0.006,,,,
43,2018-06-01 03:00:06,840170313103,0.011000000000000001,,,,
44,2018-06-01 03:00:06,840170314002,0.0,,,,
45,2018-06-01 03:00:06,840170314007,0.011000000000000001,,,,
46,2018-06-01 03:00:06,840170314201,0.013000000000000001,,,,
47,2018-06-01 03:00:06,840170317002,0.052000000000000005,,,,
48,2018-06-01 04:00:06,840170310001,0.005,,,,
49,2018-06-01 04:00:06,840170310022,,,,,24.0
50,2018-06-01 04:00:06,840170310032,0.03,,,,
51,2018-06-01 04:00:06,840170310076,0.01,,,,
52,2018-06-01 04:00:06,840170311003,0.027999999999999997,,,,
53,2018-06-01 04:00:06,840170311016,,,,,28.0
54,2018-06-01 04:00:06,840170311601,0.002,,,,
55,2018-06-01 04:00:06,840170313103,0.016,,,,
56,2018-06-01 04:00:06,840170314002,0.001,,,,
57,2018-06-01 04:00:06,840170314007,0.01,,,,
58,2018-06-01 04:00:06,840170314201,0.003,,,,
59,2018-06-01 04:00:06,840170317002,0.037000000000000005,,,,
60,2018-06-01 05:00:06,840170310001,0.006,,,,
61,2018-06-01 05:00:06,840170310022,,,,,20.0
62,2018-06-01 05:00:06,840170310032,0.017,,,,
63,2018-06-01 05:00:06,840170310076,0.005,,,,
64,2018-06-01 05:00:06,840170311003,0.028999999999999998,,,,
65,2018-06-01 05:00:06,840170311016,,,,,41.0
66,2018-06-01 05:00:06,840170311601,0.002,,,,
67,2018-06-01 05:00:06,840170313103,0.013000000000000001,,,,
68,2018-06-01 05:00:06,840170314002,0.003,,,,
69,2018-06-01 05:00:06,840170314007,0.012,,,,
70,2018-06-01 05:00:06,840170314201,0.021,,,,
71,2018-06-01 05:00:06,840170317002,0.067,,,,
72,2018-06-01 06:00:06,840170310001,0.01,,,,
73,2018-06-01 06:00:06,840170310022,,,,,31.0
74,2018-06-01 06:00:06,840170310032,0.037000000000000005,,,,
75,2018-06-01 06:00:06,840170310076,0.008,,,,
76,2018-06-01 06:00:06,840170311003,0.043,,,,
77,2018-06-01 06:00:06,840170311016,,,,,42.0
78,2018-06-01 06:00:06,840170311601,0.011000000000000001,,,,
79,2018-06-01 06:00:06,840170313103,0.031,,,,
80,2018-06-01 06:00:06,840170314002,0.03,,,,
81,2018-06-01 06:00:06,840170314007,0.036000000000000004,,,,
82,2018-06-01 06:00:06,840170314201,0.033,,,,
83,2018-06-01 06:00:06,840170317002,0.052000000000000005,,,,
