State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,0:00,1/1/18,6:00,0.525,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,1:00,1/1/18,7:00,0.727,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,2:00,1/1/18,8:00,0.516,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,3:00,1/1/18,9:00,0.517,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,4:00,1/1/18,10:00,0.457,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,5:00,1/1/18,11:00,0.429,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,6:00,1/1/18,12:00,0.386,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,7:00,1/1/18,13:00,0.411,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,8:00,1/1/18,14:00,0.369,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,9:00,1/1/18,15:00,0.374,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,10:00,1/1/18,16:00,0.497,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,11:00,1/1/18,17:00,0.39,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,12:00,1/1/18,18:00,0.377,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,13:00,1/1/18,19:00,0.374,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,14:00,1/1/18,20:00,0.349,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,15:00,1/1/18,21:00,0.333,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,16:00,1/1/18,22:00,0.344,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,17:00,1/1/18,23:00,0.31,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,18:00,1/2/18,0:00,0.438,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,19:00,1/2/18,1:00,0.469,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,20:00,1/2/18,2:00,0.336,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,21:00,1/2/18,3:00,0.359,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,22:00,1/2/18,4:00,0.316,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/1/18,23:00,1/2/18,5:00,0.327,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,0:00,1/2/18,6:00,0.331,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,1:00,1/2/18,7:00,0.296,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,2:00,1/2/18,8:00,0.326,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,3:00,1/2/18,9:00,0.259,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,4:00,1/2/18,10:00,0.254,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,5:00,1/2/18,11:00,0.24,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,6:00,1/2/18,12:00,0.265,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,7:00,1/2/18,13:00,0.331,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,8:00,1/2/18,14:00,0.402,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,9:00,1/2/18,15:00,0.371,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,10:00,1/2/18,16:00,0.368,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,11:00,1/2/18,17:00,0.284,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,12:00,1/2/18,18:00,0.248,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,13:00,1/2/18,19:00,0.232,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,14:00,1/2/18,20:00,0.286,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,16:00,1/2/18,22:00,0.238,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,17:00,1/2/18,23:00,0.29,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,18:00,1/3/18,0:00,0.283,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,19:00,1/3/18,1:00,0.262,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,20:00,1/3/18,2:00,0.259,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,21:00,1/3/18,3:00,0.234,Parts per million
