State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,13:00,1/3/18,19:00,36,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,14:00,1/3/18,20:00,23,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,15:00,1/3/18,21:00,25,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,16:00,1/3/18,22:00,29,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,17:00,1/3/18,23:00,26,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,18:00,1/4/18,0:00,28,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,19:00,1/4/18,1:00,24,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,20:00,1/4/18,2:00,16,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,21:00,1/4/18,3:00,17,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,22:00,1/4/18,4:00,17,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/3/18,23:00,1/4/18,5:00,18,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,0:00,1/4/18,6:00,20,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,1:00,1/4/18,7:00,15,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,2:00,1/4/18,8:00,12,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,3:00,1/4/18,9:00,20,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,4:00,1/4/18,10:00,16,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,5:00,1/4/18,11:00,17,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,6:00,1/4/18,12:00,23,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,7:00,1/4/18,13:00,23,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,8:00,1/4/18,14:00,21,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,9:00,1/4/18,15:00,30,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,10:00,1/4/18,16:00,22,Micrograms/cubic meter (25 C)
17,31,22,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,1/4/18,11:00,1/4/18,17:00,59,Micrograms/cubic meter (25 C)
